dataset,qid,query,class,best_model,utility_bm25,utility_l6,utility_bge,eff_bm25,eff_l6,eff_bge,lat_bm25,lat_l6,lat_bge
NFCorpus_train,PLAIN-3,Breast Cancer Cells Feed on Cholesterol,1,l6,0.7269136487575928,0.824917790838872,0.7730193917973591,0.7126042168130119,0.8185761898947927,0.8137046229445886,0.001205930020660162,0.054536876967176795,0.9989940931554884
NFCorpus_train,PLAIN-4,Using Diet to Treat Asthma and Eczema,1,l6,0.04970492830057287,0.16875239278437715,0.0,0.0,0.1365204777414663,0.0,0.0016613681800663471,0.06160805025137961,0.2815194041468203
NFCorpus_train,PLAIN-5,Treating Asthma With Plants vs. Pills,2,bge,0.746812850145412,0.8606215838657841,0.9185292438591651,0.733561179872716,0.863664922155261,0.9668728882728055,0.000391228124499321,0.05489547597244382,0.27837202209047973
NFCorpus_train,PLAIN-6,How Fruits and Vegetables Can Treat Asthma,2,bge,0.8602072119086553,0.7636659881731744,0.87978099181516,0.8529527010201656,0.7615868982389814,0.9260852545422738,0.0005424050614237785,0.054551796056330204,0.2771500020753592
NFCorpus_train,PLAIN-7,How Fruits and Vegetables Can Prevent Asthma,0,bm25,0.71892467703427,0.33039998038965485,0.5372935557341398,0.7042679592128978,0.3057657514756421,0.5655721639306736,0.0007208159659057856,0.05592681793496013,0.27748404582962394
NFCorpus_train,PLAIN-8,Our Tax Dollars Subsidize Unhealthy Foods,0,bm25,0.6294290220577716,0.34358965556749477,0.5795435889915881,0.6100458831490401,0.31943122193677725,0.6100458831490401,0.000637926859781146,0.05495775490999222,0.27840793086215854
NFCorpus_train,PLAIN-9,Reducing Arsenic in Chicken and Rice,0,bm25,0.7706344210255506,0.7379122395859606,0.7219984790478978,0.7586816813700685,0.7345000466603374,0.7599983989977872,0.0006310609169304371,0.05499412794597447,0.278795582940802
NFCorpus_train,PLAIN-10,How Contaminated Are Our Children?,0,bm25,0.6294927985376237,0.25045391090669966,0.5795435889915881,0.6100458831490401,0.2216896082411867,0.6100458831490401,0.00028143986128270626,0.056249882793053985,0.27705980092287064
NFCorpus_train,PLAIN-14,"Blood Type Diet Perceived as ""Crass Fraud""",1,l6,0.3532613338904523,0.6855563431239831,0.6455032498315265,0.31943122193677725,0.6794771050858174,0.6794771050858174,0.0011033520568162203,0.055337612982839346,0.2781649341341108
NFCorpus_train,PLAIN-15,Why Do Heart Doctors Favor Surgery and Drugs Over Diet?,0,bm25,0.6293695227845799,0.2875878770467292,0.6167827667564588,0.6100458831490401,0.26088874273052437,0.6492450176383777,0.0009707252029329538,0.057197625283151865,0.27883792598731816
